/Users/chunhaozou/Desktop/drl/envs/cartpole_train_eval.py:7: DeprecationWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html
  from pkg_resources import parse_requirements
name: __main__
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
/opt/miniconda3/envs/drl/lib/python3.11/site-packages/gymnasium/envs/classic_control/cartpole.py:214: UserWarning: [33mWARN: You are calling 'step()' even though this environment has already returned terminated = True. You should always call 'reset()' once you receive 'terminated = True' -- any further steps are undefined behavior.[0m
  logger.warn(
Episode 1 finished with reward: {'angle_reward': 116.60153658016742, 'velocity_reward': 85.98112788794545, 'threshold_touch_reward': 0.0, 'gpt_reward': 202.58266446811294, 'gt_reward': 169.0, 'episode_length': 160.0}
Episode 2 finished with reward: {'angle_reward': 141.0506258113468, 'velocity_reward': 137.70185538969335, 'threshold_touch_reward': 0.0, 'gpt_reward': 278.7524812010401, 'gt_reward': 192.0, 'episode_length': 183.0}
Episode 3 finished with reward: {'angle_reward': 115.34848407646331, 'velocity_reward': 117.7926543974799, 'threshold_touch_reward': 0.0, 'gpt_reward': 233.14113847394324, 'gt_reward': 165.0, 'episode_length': 156.0}
Episode 4 finished with reward: {'angle_reward': 147.40560951952202, 'velocity_reward': 142.68280620746765, 'threshold_touch_reward': 0.0, 'gpt_reward': 290.0884157269897, 'gt_reward': 198.0, 'episode_length': 189.0}
Episode 5 finished with reward: {'angle_reward': 246.25840300476784, 'velocity_reward': 217.2739606560666, 'threshold_touch_reward': 0.0, 'gpt_reward': 463.53236366083445, 'gt_reward': 300.0, 'episode_length': 291.0}
Episode 1 finished with reward: {'angle_reward': 530.268878916692, 'velocity_reward': 374.0765656037471, 'threshold_touch_reward': 0.0, 'gpt_reward': 904.3454445204391, 'gt_reward': 565.0, 'episode_length': 556.0}
Episode 2 finished with reward: {'angle_reward': 780.0878129917672, 'velocity_reward': 560.0180111390014, 'threshold_touch_reward': 0.0, 'gpt_reward': 1340.1058241307699, 'gt_reward': 817.0, 'episode_length': 808.0}
Episode 3 finished with reward: {'angle_reward': 588.938874098442, 'velocity_reward': 484.62240112266426, 'threshold_touch_reward': 0.0, 'gpt_reward': 1073.5612752211048, 'gt_reward': 623.0, 'episode_length': 614.0}
Episode 4 finished with reward: {'angle_reward': 405.5455321442271, 'velocity_reward': 280.23576994774305, 'threshold_touch_reward': 0.0, 'gpt_reward': 685.7813020919701, 'gt_reward': 440.0, 'episode_length': 431.0}
Episode 5 finished with reward: {'angle_reward': 581.8505332674337, 'velocity_reward': 478.62582388238064, 'threshold_touch_reward': 0.0, 'gpt_reward': 1060.476357149815, 'gt_reward': 616.0, 'episode_length': 607.0}
Episode 1 finished with reward: {'angle_reward': 732.2461898229586, 'velocity_reward': 605.2670763430771, 'threshold_touch_reward': 0.0, 'gpt_reward': 1337.513266166036, 'gt_reward': 761.0, 'episode_length': 752.0}
Episode 2 finished with reward: {'angle_reward': 1846.7648539661177, 'velocity_reward': 1435.2099215713981, 'threshold_touch_reward': 0.0, 'gpt_reward': 3281.9747755375156, 'gt_reward': 1881.0, 'episode_length': 1872.0}
Episode 3 finished with reward: {'angle_reward': 1060.621120421011, 'velocity_reward': 845.6480530943626, 'threshold_touch_reward': 0.0, 'gpt_reward': 1906.2691735153728, 'gt_reward': 1087.0, 'episode_length': 1078.0}
Episode 4 finished with reward: {'angle_reward': 797.7435663090539, 'velocity_reward': 653.8123753543384, 'threshold_touch_reward': 0.0, 'gpt_reward': 1451.5559416633946, 'gt_reward': 827.0, 'episode_length': 818.0}
