/Users/chunhaozou/Desktop/drl/envs/cartpole_train_eval.py:7: DeprecationWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html
  from pkg_resources import parse_requirements
name: __main__
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
/opt/miniconda3/envs/drl/lib/python3.11/site-packages/gymnasium/envs/classic_control/cartpole.py:214: UserWarning: [33mWARN: You are calling 'step()' even though this environment has already returned terminated = True. You should always call 'reset()' once you receive 'terminated = True' -- any further steps are undefined behavior.[0m
  logger.warn(
Episode 1 finished with reward: {'angle_reward': 231.93226036387657, 'position_penalty': -67.0, 'velocity_reward': 227.93688017303404, 'swing_periodicity_reward': 56.84183255434095, 'gpt_reward': 449.7109730912515, 'gt_reward': 272.0, 'episode_length': 263.0}
Episode 2 finished with reward: {'angle_reward': 127.86240661696968, 'position_penalty': -64.0, 'velocity_reward': 129.01214642209334, 'swing_periodicity_reward': 12.439634862568848, 'gpt_reward': 205.3141879016318, 'gt_reward': 165.0, 'episode_length': 156.0}
Episode 3 finished with reward: {'angle_reward': 107.6181916678898, 'position_penalty': -62.0, 'velocity_reward': 110.11598433468357, 'swing_periodicity_reward': 11.290190199595955, 'gpt_reward': 167.02436620216935, 'gt_reward': 145.0, 'episode_length': 136.0}
Episode 4 finished with reward: {'angle_reward': 106.42705929481662, 'position_penalty': -65.0, 'velocity_reward': 109.03818856632182, 'swing_periodicity_reward': 10.440913127450015, 'gpt_reward': 160.9061609885885, 'gt_reward': 144.0, 'episode_length': 135.0}
Episode 5 finished with reward: {'angle_reward': 204.06410949519383, 'position_penalty': -71.0, 'velocity_reward': 202.11920357602216, 'swing_periodicity_reward': 59.68814559854919, 'gpt_reward': 394.87145866976516, 'gt_reward': 243.0, 'episode_length': 234.0}
Episode 1 finished with reward: {'angle_reward': 451.16296362734266, 'position_penalty': -30.0, 'velocity_reward': 437.9950375268684, 'swing_periodicity_reward': 78.45134207750745, 'gpt_reward': 937.6093432317185, 'gt_reward': 481.0, 'episode_length': 472.0}
Episode 2 finished with reward: {'angle_reward': 107.55278622835472, 'position_penalty': -28.0, 'velocity_reward': 119.52578030325029, 'swing_periodicity_reward': 32.77205813829685, 'gpt_reward': 231.8506246699019, 'gt_reward': 136.0, 'episode_length': 127.0}
Episode 3 finished with reward: {'angle_reward': 341.26332956628306, 'position_penalty': -54.0, 'velocity_reward': 334.89844532365055, 'swing_periodicity_reward': 24.243780279479378, 'gpt_reward': 646.4055551694128, 'gt_reward': 373.0, 'episode_length': 364.0}
Episode 4 finished with reward: {'angle_reward': 169.082445913431, 'position_penalty': -30.0, 'velocity_reward': 176.4667892708661, 'swing_periodicity_reward': 48.422684936829825, 'gpt_reward': 363.9719201211265, 'gt_reward': 197.0, 'episode_length': 188.0}
Episode 5 finished with reward: {'angle_reward': 381.2602881988789, 'position_penalty': -51.0, 'velocity_reward': 373.2630344795102, 'swing_periodicity_reward': 29.304730885552065, 'gpt_reward': 732.8280535639421, 'gt_reward': 414.0, 'episode_length': 405.0}
Episode 1 finished with reward: {'angle_reward': 878.5337529953819, 'position_penalty': -90.0, 'velocity_reward': 825.1402240632596, 'swing_periodicity_reward': 238.70105161316488, 'gpt_reward': 1852.3750286718048, 'gt_reward': 917.0, 'episode_length': 908.0}
