/Users/chunhaozou/Desktop/drl/envs/cartpole_train_eval.py:7: DeprecationWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html
  from pkg_resources import parse_requirements
name: __main__
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
/opt/miniconda3/envs/drl/lib/python3.11/site-packages/gymnasium/envs/classic_control/cartpole.py:214: UserWarning: [33mWARN: You are calling 'step()' even though this environment has already returned terminated = True. You should always call 'reset()' once you receive 'terminated = True' -- any further steps are undefined behavior.[0m
  logger.warn(
Episode 1 finished with reward: {'angle_reward': 1549.207249448563, 'velocity_reward': 1351.1749844205456, 'threshold_touch_reward': 1539.2826761057083, 'gpt_reward': 1486.8201979373096, 'gt_reward': 2316.0, 'episode_length': 1659.0}
Episode 2 finished with reward: {'angle_reward': 1965.8886929293974, 'velocity_reward': 1917.9970181397523, 'threshold_touch_reward': 1939.3924420190747, 'gpt_reward': 1943.5723152194078, 'gt_reward': 2000.0, 'episode_length': 2000.0}
Episode 3 finished with reward: {'angle_reward': 1947.9117279264626, 'velocity_reward': 1866.477362561458, 'threshold_touch_reward': 1865.049964222854, 'gpt_reward': 1898.6228892058928, 'gt_reward': 2225.0, 'episode_length': 2000.0}
Episode 4 finished with reward: {'angle_reward': 976.5564967577005, 'velocity_reward': 839.6988269756297, 'threshold_touch_reward': 984.961497328904, 'gpt_reward': 938.0206959944381, 'gt_reward': 1502.0, 'episode_length': 1061.0}
Episode 5 finished with reward: {'angle_reward': 903.5412054948949, 'velocity_reward': 803.4476486294725, 'threshold_touch_reward': 862.2350741735584, 'gpt_reward': 861.1212990388626, 'gt_reward': 1163.0, 'episode_length': 938.0}
Episode 1 finished with reward: {'angle_reward': 1736.7005871650754, 'velocity_reward': 1653.3150783975345, 'threshold_touch_reward': 1621.4174258791722, 'gpt_reward': 1677.0999861490586, 'gt_reward': 1761.0, 'episode_length': 1752.0}
Episode 2 finished with reward: {'angle_reward': 817.0723838450406, 'velocity_reward': 752.903199083546, 'threshold_touch_reward': 765.8423825545568, 'gpt_reward': 782.4526280294427, 'gt_reward': 837.0, 'episode_length': 828.0}
Episode 3 finished with reward: {'angle_reward': 1988.7871309854372, 'velocity_reward': 1919.32468137216, 'threshold_touch_reward': 1929.337633478152, 'gpt_reward': 1950.1135468492694, 'gt_reward': 2000.0, 'episode_length': 2000.0}
Episode 4 finished with reward: {'angle_reward': 1020.1193204412493, 'velocity_reward': 950.8008759699553, 'threshold_touch_reward': 947.0510673137957, 'gpt_reward': 977.4033111616195, 'gt_reward': 1039.0, 'episode_length': 1030.0}
Episode 5 finished with reward: {'angle_reward': 1342.3364731322124, 'velocity_reward': 1263.4996824754107, 'threshold_touch_reward': 1248.0199592756994, 'gpt_reward': 1290.3904817782193, 'gt_reward': 1362.0, 'episode_length': 1353.0}
Episode 1 finished with reward: {'angle_reward': 1987.2594661408605, 'velocity_reward': 1901.7295281229515, 'threshold_touch_reward': 1824.8196697353014, 'gpt_reward': 1912.868545813841, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 2 finished with reward: {'angle_reward': 1166.0423517315035, 'velocity_reward': 1092.205957096909, 'threshold_touch_reward': 1078.2962468842993, 'gpt_reward': 1117.5676018869576, 'gt_reward': 1184.0, 'episode_length': 1175.0}
Episode 3 finished with reward: {'angle_reward': 1990.090329875414, 'velocity_reward': 1917.52085553782, 'threshold_touch_reward': 1894.942665750983, 'gpt_reward': 1939.7751883368173, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 4 finished with reward: {'angle_reward': 1823.974336536016, 'velocity_reward': 1730.8410669530322, 'threshold_touch_reward': 1681.2413346241515, 'gpt_reward': 1753.214455087574, 'gt_reward': 1845.0, 'episode_length': 1836.0}
