/Users/chunhaozou/Desktop/drl/envs/cartpole_train_eval.py:7: DeprecationWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html
  from pkg_resources import parse_requirements
name: __main__
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
/opt/miniconda3/envs/drl/lib/python3.11/site-packages/gymnasium/envs/classic_control/cartpole.py:214: UserWarning: [33mWARN: You are calling 'step()' even though this environment has already returned terminated = True. You should always call 'reset()' once you receive 'terminated = True' -- any further steps are undefined behavior.[0m
  logger.warn(
Episode 1 finished with reward: {'pole_balance_reward': 3.7578715272664347, 'movement_reward': 22.896040508660608, 'gpt_reward': 26.653912035927046, 'gt_reward': 32.0, 'episode_length': 23.0}
Episode 2 finished with reward: {'pole_balance_reward': 3.6040873645032416, 'movement_reward': 20.873210713526753, 'gpt_reward': 24.477298078029992, 'gt_reward': 31.0, 'episode_length': 22.0}
Episode 3 finished with reward: {'pole_balance_reward': 3.570568225462015, 'movement_reward': 20.884178326946007, 'gpt_reward': 24.454746552408025, 'gt_reward': 31.0, 'episode_length': 22.0}
Episode 4 finished with reward: {'pole_balance_reward': 3.6542756566162247, 'movement_reward': 20.901022875118898, 'gpt_reward': 24.555298531735122, 'gt_reward': 31.0, 'episode_length': 22.0}
Episode 5 finished with reward: {'pole_balance_reward': 3.797369438820448, 'movement_reward': 22.70145294368088, 'gpt_reward': 26.498822382501334, 'gt_reward': 32.0, 'episode_length': 23.0}
Episode 1 finished with reward: {'pole_balance_reward': 3.6894316180042837, 'movement_reward': 23.581395637608754, 'gpt_reward': 27.27082725561304, 'gt_reward': 33.0, 'episode_length': 24.0}
Episode 2 finished with reward: {'pole_balance_reward': 4.185383408160879, 'movement_reward': 27.716371869714628, 'gpt_reward': 31.901755277875512, 'gt_reward': 35.0, 'episode_length': 26.0}
Episode 3 finished with reward: {'pole_balance_reward': 3.84597379290957, 'movement_reward': 25.343626292738175, 'gpt_reward': 29.18960008564775, 'gt_reward': 34.0, 'episode_length': 25.0}
Episode 4 finished with reward: {'pole_balance_reward': 3.9713053251911337, 'movement_reward': 25.47112386423729, 'gpt_reward': 29.442429189428427, 'gt_reward': 34.0, 'episode_length': 25.0}
Episode 5 finished with reward: {'pole_balance_reward': 4.171537345635266, 'movement_reward': 27.069178735411157, 'gpt_reward': 31.240716081046433, 'gt_reward': 35.0, 'episode_length': 26.0}
Episode 1 finished with reward: {'pole_balance_reward': 4.177418692934725, 'movement_reward': 26.204144755413942, 'gpt_reward': 30.38156344834868, 'gt_reward': 35.0, 'episode_length': 26.0}
Episode 2 finished with reward: {'pole_balance_reward': 4.08859644314804, 'movement_reward': 26.084985582072186, 'gpt_reward': 30.173582025220224, 'gt_reward': 35.0, 'episode_length': 26.0}
Episode 3 finished with reward: {'pole_balance_reward': 3.900740182914402, 'movement_reward': 23.68982420731756, 'gpt_reward': 27.590564390231965, 'gt_reward': 34.0, 'episode_length': 25.0}
Episode 4 finished with reward: {'pole_balance_reward': 4.301032257269407, 'movement_reward': 26.155348757748236, 'gpt_reward': 30.456381015017644, 'gt_reward': 35.0, 'episode_length': 26.0}
Episode 5 finished with reward: {'pole_balance_reward': 3.7402907689106693, 'movement_reward': 22.595984513882136, 'gpt_reward': 26.33627528279281, 'gt_reward': 33.0, 'episode_length': 24.0}
Episode 1 finished with reward: {'pole_balance_reward': 3.9512740409348703, 'movement_reward': 23.96772010326114, 'gpt_reward': 27.918994144196013, 'gt_reward': 34.0, 'episode_length': 25.0}
Episode 2 finished with reward: {'pole_balance_reward': 3.82156772831817, 'movement_reward': 24.486588980877368, 'gpt_reward': 28.30815670919555, 'gt_reward': 34.0, 'episode_length': 25.0}
Episode 3 finished with reward: {'pole_balance_reward': 3.8136778563575273, 'movement_reward': 24.46304011029684, 'gpt_reward': 28.276717966654363, 'gt_reward': 34.0, 'episode_length': 25.0}
Episode 4 finished with reward: {'pole_balance_reward': 3.887168586468687, 'movement_reward': 24.495690925536483, 'gpt_reward': 28.382859512005176, 'gt_reward': 34.0, 'episode_length': 25.0}
Episode 5 finished with reward: {'pole_balance_reward': 3.9116781532278617, 'movement_reward': 24.206220238499178, 'gpt_reward': 28.117898391727042, 'gt_reward': 34.0, 'episode_length': 25.0}
Episode 1 finished with reward: {'pole_balance_reward': 4.141328219915895, 'movement_reward': 26.60026314158858, 'gpt_reward': 30.74159136150448, 'gt_reward': 35.0, 'episode_length': 26.0}
Episode 2 finished with reward: {'pole_balance_reward': 4.16725377818069, 'movement_reward': 26.752559946939723, 'gpt_reward': 30.91981372512042, 'gt_reward': 35.0, 'episode_length': 26.0}
Episode 3 finished with reward: {'pole_balance_reward': 4.221076101165624, 'movement_reward': 26.261657737507292, 'gpt_reward': 30.482733838672917, 'gt_reward': 35.0, 'episode_length': 26.0}
Episode 4 finished with reward: {'pole_balance_reward': 4.1045599499341145, 'movement_reward': 26.632414379938908, 'gpt_reward': 30.736974329873025, 'gt_reward': 35.0, 'episode_length': 26.0}
Episode 5 finished with reward: {'pole_balance_reward': 4.162926405482436, 'movement_reward': 27.507371951854907, 'gpt_reward': 31.670298357337348, 'gt_reward': 35.0, 'episode_length': 26.0}
Episode 1 finished with reward: {'pole_balance_reward': 4.24718903282137, 'movement_reward': 26.176814140285206, 'gpt_reward': 30.424003173106577, 'gt_reward': 35.0, 'episode_length': 26.0}
Episode 2 finished with reward: {'pole_balance_reward': 4.139129300155307, 'movement_reward': 25.474490208977866, 'gpt_reward': 29.61361950913318, 'gt_reward': 35.0, 'episode_length': 26.0}
Episode 3 finished with reward: {'pole_balance_reward': 4.383098539772925, 'movement_reward': 26.582906036940575, 'gpt_reward': 30.966004576713498, 'gt_reward': 36.0, 'episode_length': 27.0}
Episode 4 finished with reward: {'pole_balance_reward': 4.001506467427521, 'movement_reward': 24.81615227011614, 'gpt_reward': 28.817658737543667, 'gt_reward': 34.0, 'episode_length': 25.0}
