/Users/chunhaozou/Desktop/drl/envs/cartpole_train_eval.py:7: DeprecationWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html
  from pkg_resources import parse_requirements
name: __main__
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
/opt/miniconda3/envs/drl/lib/python3.11/site-packages/gymnasium/envs/classic_control/cartpole.py:214: UserWarning: [33mWARN: You are calling 'step()' even though this environment has already returned terminated = True. You should always call 'reset()' once you receive 'terminated = True' -- any further steps are undefined behavior.[0m
  logger.warn(
Episode 1 finished with reward: {'pole_balance_reward': 724.000695170816, 'cart_movement_reward': 52.12896232882456, 'gpt_reward': 776.1296574996405, 'gt_reward': 906.0, 'episode_length': 897.0}
Episode 2 finished with reward: {'pole_balance_reward': 328.0370508547342, 'cart_movement_reward': 72.4207731682327, 'gpt_reward': 400.45782402296703, 'gt_reward': 420.0, 'episode_length': 411.0}
Episode 3 finished with reward: {'pole_balance_reward': 267.78522078259755, 'cart_movement_reward': 61.5751501333767, 'gpt_reward': 329.3603709159745, 'gt_reward': 346.0, 'episode_length': 337.0}
Episode 4 finished with reward: {'pole_balance_reward': 936.4454855389105, 'cart_movement_reward': 51.429244713672546, 'gpt_reward': 987.8747302525827, 'gt_reward': 1166.0, 'episode_length': 1157.0}
Episode 5 finished with reward: {'pole_balance_reward': 196.94033783245533, 'cart_movement_reward': 48.2805154454885, 'gpt_reward': 245.2208532779438, 'gt_reward': 263.0, 'episode_length': 254.0}
Episode 1 finished with reward: {'pole_balance_reward': 1618.205821795724, 'cart_movement_reward': 520.2400468655306, 'gpt_reward': 2138.4458686612365, 'gt_reward': 1988.0, 'episode_length': 1979.0}
Episode 2 finished with reward: {'pole_balance_reward': 1637.5959192428813, 'cart_movement_reward': 417.7314162457562, 'gpt_reward': 2055.327335488633, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 3 finished with reward: {'pole_balance_reward': 963.478092098863, 'cart_movement_reward': 222.86006042591197, 'gpt_reward': 1186.3381525247787, 'gt_reward': 1189.0, 'episode_length': 1180.0}
Episode 4 finished with reward: {'pole_balance_reward': 1636.8275347643144, 'cart_movement_reward': 86.41512547127263, 'gpt_reward': 1723.242660235586, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 5 finished with reward: {'pole_balance_reward': 1637.8837535232312, 'cart_movement_reward': 417.7314162457562, 'gpt_reward': 2055.6151697689793, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 1 finished with reward: {'pole_balance_reward': 1634.6892288106403, 'cart_movement_reward': 547.1791750488803, 'gpt_reward': 2181.868403859507, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 2 finished with reward: {'pole_balance_reward': 1633.1229124208296, 'cart_movement_reward': 635.6934533656007, 'gpt_reward': 2268.8163657864297, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 3 finished with reward: {'pole_balance_reward': 1635.5355862735857, 'cart_movement_reward': 632.194865289841, 'gpt_reward': 2267.7304515634187, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 4 finished with reward: {'pole_balance_reward': 1632.9435001983654, 'cart_movement_reward': 647.2387940156077, 'gpt_reward': 2280.18229421397, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 5 finished with reward: {'pole_balance_reward': 1635.0471373506705, 'cart_movement_reward': 646.1892175928798, 'gpt_reward': 2281.236354943547, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 1 finished with reward: {'pole_balance_reward': 1636.2588318376434, 'cart_movement_reward': 676.9767926595651, 'gpt_reward': 2313.2356244972166, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 2 finished with reward: {'pole_balance_reward': 1633.7788424539065, 'cart_movement_reward': 676.9767926595651, 'gpt_reward': 2310.7556351134745, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 3 finished with reward: {'pole_balance_reward': 1635.5378825248058, 'cart_movement_reward': 676.2770750444132, 'gpt_reward': 2311.814957569219, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 4 finished with reward: {'pole_balance_reward': 1635.8461956210417, 'cart_movement_reward': 670.6793341231977, 'gpt_reward': 2306.5255297442486, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 5 finished with reward: {'pole_balance_reward': 1635.799869346819, 'cart_movement_reward': 670.3294753156217, 'gpt_reward': 2306.1293446624436, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 1 finished with reward: {'pole_balance_reward': 1635.0202771856775, 'cart_movement_reward': 676.6269338519892, 'gpt_reward': 2311.647211037672, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 2 finished with reward: {'pole_balance_reward': 1635.0364033840697, 'cart_movement_reward': 675.9272162368372, 'gpt_reward': 2310.9636196209103, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 3 finished with reward: {'pole_balance_reward': 1635.0924734618984, 'cart_movement_reward': 676.6269338519892, 'gpt_reward': 2311.7194073138876, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 4 finished with reward: {'pole_balance_reward': 1635.0254150298497, 'cart_movement_reward': 679.4258043125969, 'gpt_reward': 2314.4512193424534, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 5 finished with reward: {'pole_balance_reward': 1634.2964608396314, 'cart_movement_reward': 676.9767926595651, 'gpt_reward': 2311.273253499197, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 1 finished with reward: {'pole_balance_reward': 1095.3413143125108, 'cart_movement_reward': 449.91842654275064, 'gpt_reward': 1545.2597408552501, 'gt_reward': 1352.0, 'episode_length': 1343.0}
Episode 2 finished with reward: {'pole_balance_reward': 1237.3921985405877, 'cart_movement_reward': 509.04456502309915, 'gpt_reward': 1746.4367635636686, 'gt_reward': 1526.0, 'episode_length': 1517.0}
Episode 3 finished with reward: {'pole_balance_reward': 1633.6985711495931, 'cart_movement_reward': 679.4258043125969, 'gpt_reward': 2313.124375462195, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 4 finished with reward: {'pole_balance_reward': 1633.972007775629, 'cart_movement_reward': 681.8748159656287, 'gpt_reward': 2315.8468237412517, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 5 finished with reward: {'pole_balance_reward': 1633.9463441391354, 'cart_movement_reward': 680.8252395429008, 'gpt_reward': 2314.771583682042, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 1 finished with reward: {'pole_balance_reward': 1633.0018262329631, 'cart_movement_reward': 681.1750983504768, 'gpt_reward': 2314.1769245834475, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 2 finished with reward: {'pole_balance_reward': 1632.9117414811135, 'cart_movement_reward': 680.8252395429008, 'gpt_reward': 2313.736981024015, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 3 finished with reward: {'pole_balance_reward': 1632.7862229188445, 'cart_movement_reward': 681.1750983504768, 'gpt_reward': 2313.961321269326, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 4 finished with reward: {'pole_balance_reward': 1632.8829541857483, 'cart_movement_reward': 681.8748159656287, 'gpt_reward': 2314.75777015138, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 5 finished with reward: {'pole_balance_reward': 1632.838656816962, 'cart_movement_reward': 679.7756631201729, 'gpt_reward': 2312.614319937141, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 1 finished with reward: {'pole_balance_reward': 1633.2306725938904, 'cart_movement_reward': 681.8748159656287, 'gpt_reward': 2315.1054885595136, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 2 finished with reward: {'pole_balance_reward': 1632.9717021094132, 'cart_movement_reward': 679.4258043125969, 'gpt_reward': 2312.397506422017, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 3 finished with reward: {'pole_balance_reward': 1633.5531375274472, 'cart_movement_reward': 681.1750983504768, 'gpt_reward': 2314.728235877922, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 4 finished with reward: {'pole_balance_reward': 1632.9967497198904, 'cart_movement_reward': 679.7756631201729, 'gpt_reward': 2312.7724128400687, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 5 finished with reward: {'pole_balance_reward': 1632.9253273193542, 'cart_movement_reward': 679.4258043125969, 'gpt_reward': 2312.35113163195, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 1 finished with reward: {'pole_balance_reward': 1633.5760011529012, 'cart_movement_reward': 682.5745335807807, 'gpt_reward': 2316.150534733684, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 2 finished with reward: {'pole_balance_reward': 1633.7259222163693, 'cart_movement_reward': 683.6241100035086, 'gpt_reward': 2317.3500322198765, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 3 finished with reward: {'pole_balance_reward': 1633.8320778741427, 'cart_movement_reward': 682.2246747732047, 'gpt_reward': 2316.056752647345, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 4 finished with reward: {'pole_balance_reward': 1633.326901102911, 'cart_movement_reward': 679.7756631201729, 'gpt_reward': 2313.1025642230848, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 5 finished with reward: {'pole_balance_reward': 1633.5402915036718, 'cart_movement_reward': 681.5249571580528, 'gpt_reward': 2315.065248661732, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 1 finished with reward: {'pole_balance_reward': 1633.8787446010017, 'cart_movement_reward': 681.8748159656287, 'gpt_reward': 2315.753560566637, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 2 finished with reward: {'pole_balance_reward': 1633.643555295308, 'cart_movement_reward': 681.1750983504768, 'gpt_reward': 2314.818653645782, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 3 finished with reward: {'pole_balance_reward': 1633.5444010767767, 'cart_movement_reward': 681.8748159656287, 'gpt_reward': 2315.419217042409, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 4 finished with reward: {'pole_balance_reward': 1633.8454809793964, 'cart_movement_reward': 682.9243923883566, 'gpt_reward': 2316.7698733677553, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 5 finished with reward: {'pole_balance_reward': 1634.012051722003, 'cart_movement_reward': 683.2742511959326, 'gpt_reward': 2317.286302917934, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 1 finished with reward: {'pole_balance_reward': 1633.2217636778096, 'cart_movement_reward': 682.2246747732047, 'gpt_reward': 2315.4464384510115, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 2 finished with reward: {'pole_balance_reward': 1633.5247894219408, 'cart_movement_reward': 682.9243923883566, 'gpt_reward': 2316.4491818102956, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 3 finished with reward: {'pole_balance_reward': 1632.9002803738642, 'cart_movement_reward': 681.1750983504768, 'gpt_reward': 2314.0753787243443, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 4 finished with reward: {'pole_balance_reward': 1633.2967492700527, 'cart_movement_reward': 682.2246747732047, 'gpt_reward': 2315.521424043256, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 5 finished with reward: {'pole_balance_reward': 1633.3455670762667, 'cart_movement_reward': 682.5745335807807, 'gpt_reward': 2315.9201006570474, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 1 finished with reward: {'pole_balance_reward': 1632.8085305516238, 'cart_movement_reward': 681.1750983504768, 'gpt_reward': 2313.983628902108, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 2 finished with reward: {'pole_balance_reward': 1632.5738610914084, 'cart_movement_reward': 682.2246747732047, 'gpt_reward': 2314.7985358646074, 'gt_reward': 2009.0, 'episode_length': 2000.0}
